month,treasury,supply,floor,lp_tokens,lp_stable,spot
0,1000000,1000000000,0.00100000000000000002,750000000,750000,0.00100000000000000002
1,1050000,953125000,0.00110163934426229506,703125000,800000,0.0011377777777777777
2,1100000,911764705.882352948,0.00120645161290322588,661764705.882352948,850000,0.00128444444444444439
3,1150000,875000000,0.00131428571428571423,625000000,900000,0.00144000000000000009
4,1200000,842105263.157894731,0.00142500000000000005,592105263.157894731,950000,0.00160444444444444436
5,1250000,812500000,0.00153846153846153846,562500000,1000000,0.00177777777777777786
6,1300000,785714285.714285731,0.00165454545454545455,535714285.714285731,1050000,0.00195999999999999994
7,1350000,761363636.363636374,0.00177313432835820889,511363636.363636374,1100000,0.00215111111111111102
8,1400000,739130434.782608747,0.00189411764705882347,489130434.782608688,1150000,0.00235111111111111111
9,1450000,718750000,0.00201739130434782591,468750000,1200000,0.00256000000000000021
10,1500000,700000000,0.00214285714285714296,450000000,1250000,0.00277777777777777788
11,1550000,682692307.692307711,0.00227042253521126747,432692307.692307711,1300000,0.00300444444444444413
12,1600000,666666666.666666746,0.00239999999999999979,416666666.666666687,1350000,0.00323999999999999982
